Date,Open,High,Low,Close,Adj Close,Volume
2022-07-27,74.379997,76.120003,74.320000,75.870003,74.886414,6677200
2022-07-28,75.639999,77.279999,75.309998,77.040001,76.041245,5688100
2022-07-29,77.010002,78.160004,77.000000,77.839996,76.830872,5926600
2022-08-01,77.180000,77.809998,76.699997,77.440002,76.436058,5227500
2022-08-02,76.989998,77.260002,76.059998,76.349998,75.360184,6403400
2022-08-03,76.720001,77.760002,76.300003,77.370003,76.366966,6127800
2022-08-04,77.449997,77.849998,77.110001,77.400002,76.396568,3656200
2022-08-05,76.269997,77.400002,76.000000,77.349998,76.347229,4858100
2022-08-08,76.919998,77.430000,76.269997,76.470001,75.478630,4733500
2022-08-09,76.209999,76.910004,75.839996,76.769997,75.774742,4243700
2022-08-10,77.589996,77.980003,77.199997,77.540001,76.534760,5258500
2022-08-11,77.949997,78.000000,77.080002,77.160004,76.159691,5554600
2022-08-12,78.000000,79.419998,77.660004,79.150002,78.123886,6692300
2022-08-15,78.839996,79.419998,78.500000,79.110001,78.084412,3733500
2022-08-16,78.900002,79.660004,78.849998,79.519997,78.489082,6185100
2022-08-17,79.000000,79.769997,78.949997,79.250000,78.222588,5185100
2022-08-18,79.279999,79.879997,79.010002,79.320000,78.291687,4120500
2022-08-19,79.029999,79.129997,78.440002,78.660004,77.640244,4679000
2022-08-22,77.930000,77.930000,76.169998,76.459999,75.468758,5757700
2022-08-23,76.250000,77.010002,76.250000,76.410004,75.419411,4432300
2022-08-24,76.470001,76.559998,76.050003,76.169998,75.182518,3876400
2022-08-25,76.339996,76.910004,75.980003,76.889999,75.893188,3523400
2022-08-26,76.980003,77.260002,74.570000,74.650002,73.682220,4904100
2022-08-29,74.110001,74.860001,74.070000,74.190002,73.228188,4295500
2022-08-30,74.419998,74.669998,73.459999,74.139999,73.178841,5099100
2022-08-31,74.459999,75.150002,74.040001,74.150002,73.188713,8612900
2022-09-01,74.120003,75.370003,73.529999,75.300003,74.323799,8139800
2022-09-02,75.739998,76.769997,74.480003,74.680000,73.711838,11027700
2022-09-06,74.699997,75.190002,73.550003,73.830002,72.872856,7090100
2022-09-07,73.680000,74.669998,73.419998,74.489998,73.524300,5792600
2022-09-08,74.029999,74.800003,73.610001,74.650002,73.682220,6897100
2022-09-09,74.650002,76.010002,74.440002,75.910004,74.925896,7762400
2022-09-12,76.629997,77.379997,76.269997,77.080002,76.080727,15628900
2022-09-13,76.059998,79.410004,75.779999,76.040001,75.054207,29476500
2022-09-14,75.790001,75.870003,71.769997,72.120003,71.185028,21601400
2022-09-15,71.500000,72.089996,69.750000,70.239998,69.329399,12478100
